name,url,specialties,hospitals,able_to_book,appointments_next_4_weeks,first_available_days_away
"Dr  Hemant  Sharma","https://www.nuffieldhealth.com/consultants/dr-hemant-sharma","Gastroenterology; General (internal) Medicine","Tunbridge Wells Hospital","Yes","22","9"
"Dr  Hemanth Bolusani","https://www.nuffieldhealth.com/consultants/dr-hemanth-bolusani","Endocrinology and Diabetes Mellitus","Cardiff and Vale Hospitals","Yes","68","7"
"Dr  Jack  Mann","https://www.nuffieldhealth.com/consultants/dr-jack-mann","Dermatology","Brentwood Hospital; The Holly Hospital","Yes","0","0"
"Dr  Jafar Jafari","https://www.nuffieldhealth.com/consultants/dr-jafar-jafari","Gastrointestinal Physiology","Tunbridge Wells Hospital","No","0","0"
"Dr  James McCready","https://www.nuffieldhealth.com/consultants/dr-james-mccready","Cardiology","Brighton Hospital","Yes","21","5"
"Dr  Jane  Rosbotham","https://www.nuffieldhealth.com/consultants/dr-jane-rosbotham","Dermatology","Woking Hospital","Yes","481","7"
"Dr  Janey Merron","https://www.nuffieldhealth.com/consultants/dr-janey-merron","General Practice (GP)","North Staffordshire Hospital","Yes","94","2"
"Dr  Jayne  Hawkins","https://www.nuffieldhealth.com/consultants/dr-jayne-hawkins","Clinical Psychology","Leeds Hospital","No","0","0"
"Dr  Jillian Pritchard","https://www.nuffieldhealth.com/consultants/dr-jillian-pritchard","Genito-urinary Medicine (Sexual Health); Sexual Health","Woking Hospital","Yes","14","6"
"Dr  Joel  Newman","https://www.nuffieldhealth.com/consultants/dr-joel-newman","Haematology","Haywards Heath Hospital; Tunbridge Wells Hospital; Brighton Hospital","No","0","0"
"Dr  John  Clark","https://www.nuffieldhealth.com/consultants/dr-john-clark","General (internal) Medicine; Endocrinology and Diabetes Mellitus","Cambridge Hospital","No","0","0"
"Dr  John Jacob","https://www.nuffieldhealth.com/consultants/dr-john-jacob","Gastroenterology; Gastrointestinal surgery","Tees Hospital","Yes","2","5"
"Dr  Jon  Goulding","https://www.nuffieldhealth.com/consultants/dr-jon-goulding","Dermatology","Warwickshire Hospital","Yes","0","0"
"Dr  Joseph Chacko","https://www.nuffieldhealth.com/consultants/dr-joseph-chacko","Haematology","Bournemouth Hospital","Yes","2","15"
"Dr  Josie Vila","https://www.nuffieldhealth.com/consultants/dr-josie-vila","Rheumatology","Newcastle upon Tyne Hospital","Yes","17","21"
"Dr  Justin  Pepperell","https://www.nuffieldhealth.com/consultants/dr-justin-pepperell","Respiratory Medicine; General (internal) Medicine; Respiratory Medicine","Taunton Hospital","Yes","0","0"
"Dr  Justin  Taylor","https://www.nuffieldhealth.com/consultants/dr-justin-taylor","Cardiology","Cardiff and Vale Hospitals","Yes","1","1"
"Dr  Karen  McAdam","https://www.nuffieldhealth.com/consultants/dr-karen-mcadam","Medical Oncology","Cambridge Hospital","No","0","0"
"Dr  Katherine Irving","https://www.nuffieldhealth.com/consultants/dr-katherine-irving","Rheumatology","Highgate Hospital","Yes","0","0"
"Dr  Lalita Banerjee","https://www.nuffieldhealth.com/consultants/dr-lalita-banerjee","Haematology","Tunbridge Wells Hospital","No","0","0"
"Dr  Laurie Windsor","https://www.nuffieldhealth.com/consultants/dr-laurie-windsor","General Psychiatry","Exeter Hospital","No","0","0"
"Dr  Lawrence Sunder  Raj","https://www.nuffieldhealth.com/consultants/dr-lawrence-sunder-raj","Gastroenterology; General (internal) Medicine","Cardiff and Vale Hospitals","Yes","0","0"
"Dr  Lizzy Atkins","https://www.nuffieldhealth.com/consultants/dr-lizzy-atkins","Neuropsychology","Plymouth Hospital","No","0","0"
"Dr  M B Mukesh","https://www.nuffieldhealth.com/consultants/dr-mukesh-bindlish-mukesh","Clinical Oncology","Ipswich Hospital; Brentwood Hospital","No","0","0"
"Dr  Marinos  Kantzis","https://www.nuffieldhealth.com/consultants/dr-marinos-kantzis","Paediatric Cardiology; Paediatrics","Leicester Hospital","No","0","0"
"Dr  Martin  Sandler","https://www.nuffieldhealth.com/consultants/dr-martin-sandler","General (internal) Medicine; Geriatric Medicine","Warwickshire Hospital","Yes","0","0"
"Dr  Maumer  Durrani","https://www.nuffieldhealth.com/consultants/dr-maumer-durrani","General (internal) Medicine; Rheumatology","Leicester Hospital","Yes","55","1"
"Dr  Michael  Michail","https://www.nuffieldhealth.com/consultants/dr-michael-michail","Cardiology","Parkside Hospital","Yes","3","9"
"Dr  Natalia Cartledge","https://www.nuffieldhealth.com/consultants/dr-natalia-cartledge","Paediatrics","Guildford Hospital","No","0","0"
"Dr  Oliver Gosling","https://www.nuffieldhealth.com/consultants/dr-oliver-gosling","Cardiology","Taunton Hospital","Yes","3","13"
"Dr  Ozan  Hanci","https://www.nuffieldhealth.com/consultants/dr-ozan-hanci","Paediatrics","Guildford Hospital","No","0","0"
"Dr  Panteha  Sedaghat","https://www.nuffieldhealth.com/consultants/dr-panteha-sedaghat","Clinical Neurophysiology; Neurophysiology","Warwickshire Hospital","No","0","0"
"Dr  Patrick  Calvert","https://www.nuffieldhealth.com/consultants/dr-patrick-calvert","Cardiology","Cambridge Hospital","Yes","0","0"
"Dr  Paul  Cervi","https://www.nuffieldhealth.com/consultants/dr-paul-cervi","Haematology","Brentwood Hospital","No","0","0"
"Dr  Polly Baker","https://www.nuffieldhealth.com/consultants/dr-polly-baker","Sport and Exercise Medicine","Tunbridge Wells Hospital","No","0","0"
"Dr  Pramod Prabhakaran","https://www.nuffieldhealth.com/consultants/dr-pramod-prabhakaran","Old Age Psychiatry; General Psychiatry","Bournemouth Hospital","No","0","0"
"Dr  Prasad Hunasehally","https://www.nuffieldhealth.com/consultants/dr-prasad-hunasehally","Dermatology","Cardiff and Vale Hospitals","Yes","0","0"
"Dr  Rachael Jolley","https://www.nuffieldhealth.com/consultants/dr-rachael-jolley","General Practice (GP)","North Staffordshire Hospital","Yes","21","2"
